Power Units_Bus Number,MW_7044,MVAr_7044,MW_7210,MVAr_7210,MW_7263,MVAr_7263,MW_7297,MVAr_7297,MW_7555,MVAr_7555,MW_7573,MVAr_7573,MW_7780,MVAr_7780,MW_7921,MVAr_7921,MW_11005,MVAr_11005,MW_891100,MVAr_891100,MW_893502,MVAr_893502
2024-01-01 00:30:00,6.06,1.99,2.68,0.88,3.89,1.28,4.19,1.38,3.32,0.43,5.55,-0.37,3.00,0.99,7.42,2.44,0.00,0.00,39.40,-19.46,38.88,0.00
2024-01-01 01:00:00,6.42,2.11,2.56,0.84,3.92,1.29,4.43,1.46,3.39,0.59,6.05,-0.36,3.03,1.00,7.52,2.47,0.26,0.00,41.04,-18.88,40.48,0.00
2024-01-01 01:30:00,6.07,2.00,2.39,0.79,3.85,1.26,4.30,1.41,3.32,0.61,5.85,-0.38,2.88,0.95,7.37,2.42,0.00,0.00,39.79,-19.22,39.22,0.00
2024-01-01 02:00:00,5.90,1.94,2.23,0.73,3.77,1.24,4.11,1.35,3.06,0.61,5.62,-0.37,2.79,0.92,7.18,2.36,0.00,0.00,38.19,-19.76,37.65,0.00
2024-01-01 02:30:00,5.73,1.88,2.52,0.83,3.72,1.22,3.94,1.30,2.98,0.61,5.60,-0.39,2.79,0.92,7.08,2.33,0.00,0.00,37.61,-19.92,37.08,0.00
2024-01-01 03:00:00,5.57,1.83,2.38,0.78,3.64,1.20,3.81,1.25,2.93,0.61,5.51,-0.39,2.66,0.87,6.90,2.27,0.00,0.00,36.50,-20.26,35.98,0.00
2024-01-01 03:30:00,5.33,1.75,2.29,0.75,3.54,1.16,3.80,1.25,2.81,0.61,5.28,-0.41,2.53,0.83,6.70,2.20,0.00,0.00,35.01,-20.26,34.50,0.00
2024-01-01 04:00:00,5.03,1.65,2.15,0.71,3.42,1.12,3.57,1.17,2.68,0.61,4.95,-0.44,2.33,0.76,6.45,2.12,0.00,0.00,33.33,-20.67,32.85,0.00
2024-01-01 04:30:00,5.02,1.65,1.69,0.56,3.38,1.11,3.50,1.15,2.56,0.61,4.59,-0.43,2.30,0.76,6.38,2.10,0.00,0.00,32.31,-20.80,31.83,0.00
2024-01-01 05:00:00,4.74,1.56,1.62,0.53,3.38,1.11,3.29,1.08,2.45,0.61,4.35,-0.43,2.29,0.75,6.33,2.08,0.00,0.00,31.28,-20.80,30.84,0.00
2024-01-01 05:30:00,4.80,1.58,1.97,0.65,3.38,1.11,3.20,1.05,2.45,0.61,4.20,-0.42,2.29,0.75,6.38,2.10,0.00,0.00,31.11,-20.65,30.66,0.00
2024-01-01 06:00:00,4.78,1.57,2.04,0.67,3.39,1.11,3.11,1.02,2.48,0.61,4.20,-0.41,2.29,0.75,6.43,2.12,0.00,0.00,31.20,-20.52,30.74,0.00
2024-01-01 06:30:00,4.92,1.62,2.14,0.70,3.56,1.17,3.24,1.07,2.59,0.61,4.29,-0.47,2.34,0.77,6.84,2.25,0.00,0.00,32.69,-19.92,32.24,0.00
2024-01-01 07:00:00,5.09,1.67,1.79,0.59,3.75,1.23,3.28,1.08,2.67,0.61,4.25,-0.50,2.43,0.80,7.22,2.37,0.20,0.00,33.56,-19.61,33.08,0.00
