Power Units_Bus Number,MW_15930,MVAr_15930,MW_15931,MVAr_15931,MW_15950,MVAr_15950,MW_15951,MVAr_15951,MW_15952,MVAr_15952,MW_15970,MVAr_15970,MW_15971,MVAr_15971,MW_15972,MVAr_15972,MW_15973,MVAr_15973,MW_159400,MVAr_159400,MW_159402,MVAr_159402,MW_169900,MVAr_169900,MW_169904,MVAr_169904
2024-01-01 00:30:00,2.11,-0.50,3.27,-0.65,8.15,-1.67,8.12,0.00,8.43,-1.06,5.50,-0.69,3.81,-0.44,3.07,-0.43,5.52,-0.29,20.01,-4.76,20.01,-4.76,0.00,0.00,0.00,0.67
2024-01-01 01:00:00,2.08,-0.50,3.27,-0.65,7.84,-1.68,8.93,0.00,8.56,-1.04,5.62,-0.66,3.90,-0.43,3.24,-0.43,5.55,-0.29,20.33,-4.66,20.33,-4.66,0.00,0.00,0.00,0.67
2024-01-01 01:30:00,2.05,-0.52,3.15,-0.65,8.01,-1.64,8.09,0.00,8.49,-1.04,5.52,-0.66,3.82,-0.43,3.20,-0.43,5.42,-0.34,19.93,-4.74,19.93,-4.74,0.00,0.00,0.00,0.67
2024-01-01 02:00:00,2.05,-0.52,2.94,-0.65,7.79,-1.67,7.60,0.00,8.25,-1.10,5.35,-0.66,3.72,-0.43,3.17,-0.43,5.30,-0.30,19.36,-4.82,19.36,-4.82,0.00,0.00,0.00,0.67
2024-01-01 02:30:00,1.97,-0.54,2.84,-0.62,7.51,-1.65,7.99,0.00,8.09,-1.06,5.24,-0.69,3.65,-0.43,3.14,-0.43,5.18,-0.30,18.91,-4.82,18.91,-4.82,0.00,0.00,0.00,0.67
2024-01-01 03:00:00,1.90,-0.54,2.71,-0.62,7.26,-1.62,7.36,0.00,8.01,-1.06,5.02,-0.69,3.58,-0.43,3.08,-0.43,5.09,-0.26,13.54,-6.01,13.54,-6.01,0.00,0.00,0.00,1.70
2024-01-01 03:30:00,1.90,-0.54,2.67,-0.62,6.98,-1.67,8.24,0.00,7.95,-0.98,4.84,-0.69,3.48,-0.41,2.99,-0.40,4.93,-0.26,12.00,-6.22,12.00,-6.22,0.00,0.00,8.59,1.99
2024-01-01 04:00:00,1.85,-0.53,2.57,-0.62,6.78,-1.58,4.98,0.00,7.81,-0.98,4.77,-0.69,3.44,-0.41,2.87,-0.40,4.78,-0.26,17.52,-4.91,17.52,-4.91,0.00,0.00,0.00,0.67
2024-01-01 04:30:00,1.78,-0.56,2.51,-0.67,6.55,-1.61,6.81,0.00,7.71,-0.95,4.62,-0.69,3.40,-0.41,2.80,-0.40,4.66,-0.29,17.21,-5.02,17.21,-5.02,0.00,0.00,0.00,0.67
2024-01-01 05:00:00,1.75,-0.54,2.51,-0.64,6.55,-1.59,7.06,0.00,7.65,-0.89,4.50,-0.69,3.36,-0.41,2.78,-0.38,4.57,-0.25,16.90,-4.96,16.90,-4.96,0.00,0.00,0.00,0.67
2024-01-01 05:30:00,1.75,-0.54,2.56,-0.64,6.30,-1.62,8.69,0.00,7.65,-0.89,4.50,-0.69,3.34,-0.41,2.81,-0.38,4.50,-0.27,16.67,-5.02,16.67,-5.02,0.00,0.00,0.00,0.67
2024-01-01 06:00:00,1.76,-0.54,2.54,-0.64,5.82,-1.68,10.15,0.00,7.76,-0.89,4.50,-0.69,3.34,-0.39,2.88,-0.36,4.50,-0.24,16.78,-4.98,16.78,-4.98,0.00,0.00,0.00,0.67
2024-01-01 06:30:00,1.84,-0.50,2.60,-0.64,5.82,-1.72,9.79,0.00,7.86,-0.85,4.67,-0.66,3.34,-0.39,2.98,-0.36,4.58,-0.26,17.22,-4.91,17.22,-4.91,0.00,0.00,0.00,0.67
2024-01-01 07:00:00,1.88,-0.53,2.67,-0.64,6.10,-1.72,12.79,0.00,7.95,-0.88,4.77,-0.66,3.37,-0.39,3.12,-0.33,4.65,-0.29,17.56,-4.85,17.56,-4.85,0.00,0.00,0.00,0.67
2024-01-01 07:30:00,1.96,-0.55,2.76,-0.66,6.24,-1.66,16.70,0.00,8.16,-0.84,4.97,-0.66,3.52,-0.39,3.31,-0.33,4.71,-0.35,18.17,-4.81,18.17,-4.81,0.00,0.00,0.00,0.67
2024-01-01 08:00:00,1.96,-0.55,2.79,-0.66,6.46,-1.63,12.35,0.00,8.14,-0.84,5.00,-0.60,3.59,-0.35,3.34,-0.28,4.82,-0.24,18.50,-4.57,18.50,-4.57,0.00,0.00,0.00,0.67
2024-01-01 08:30:00,2.07,-0.51,2.92,-0.66,6.78,-1.53,14.05,0.00,8.16,-0.87,5.23,-0.60,3.62,-0.35,3.31,-0.28,4.96,-0.24,18.91,-4.62,18.91,-4.62,0.00,0.00,0.00,0.67
2024-01-01 09:00:00,2.15,-0.51,3.11,-0.66,6.94,-1.65,17.90,0.00,8.29,-0.82,5.53,-0.56,3.83,-0.35,3.43,-0.31,5.13,-0.24,19.80,-4.50,19.80,-4.50,0.00,0.00,0.00,0.67
