Power Units_Bus Number,MW_15810,MVAr_15810,MW_15811,MVAr_15811,MW_15812,MVAr_15812,MW_15813,MVAr_15813,MW_15814,MVAr_15814,MW_15815,MVAr_15815,MW_15821,MVAr_15821,MW_15822,MVAr_15822,MW_15823,MVAr_15823,MW_15825,MVAr_15825,MW_15840,MVAr_15840,MW_15841,MVAr_15841,MW_158308,MVAr_158308,MW_158311,MVAr_158311,MW_158800,MVAr_158800
2024-01-01 00:30:00,2.02,-0.58,3.28,-0.64,7.07,-1.10,3.28,-0.64,2.02,-0.58,3.54,-0.55,1.94,-0.36,0.90,0.05,0.90,0.05,1.94,-0.36,2.25,-0.33,3.20,0.93,15.54,-8.82,15.54,-8.82,2.43,0.00
2024-01-01 01:00:00,1.98,-0.56,3.30,-0.64,6.77,-1.15,3.30,-0.64,1.98,-0.56,3.38,-0.58,1.88,-0.36,0.89,0.05,0.89,0.05,1.88,-0.36,2.23,-0.33,3.48,1.02,16.50,-8.60,16.50,-8.60,2.43,0.00
2024-01-01 01:30:00,2.03,-0.56,3.67,-0.62,7.10,-1.11,3.67,-0.62,2.03,-0.56,3.55,-0.56,1.95,-0.35,0.95,0.06,0.95,0.06,1.95,-0.35,2.27,-0.33,3.48,1.02,16.40,-8.57,16.40,-8.57,2.51,0.00
2024-01-01 02:00:00,2.00,-0.56,3.64,-0.60,7.05,-1.04,3.64,-0.60,2.00,-0.56,3.52,-0.52,1.95,-0.34,0.96,0.06,0.96,0.06,1.95,-0.34,2.24,-0.33,3.44,1.00,15.80,-8.70,15.80,-8.70,2.51,0.00
2024-01-01 02:30:00,1.91,-0.56,3.47,-0.60,6.68,-1.08,3.47,-0.60,1.91,-0.56,3.34,-0.54,1.84,-0.34,0.92,0.06,0.92,0.06,1.84,-0.34,2.13,-0.33,3.34,0.98,15.24,-8.75,15.24,-8.75,2.35,0.00
2024-01-01 03:00:00,1.85,-0.56,3.37,-0.60,6.38,-1.11,3.37,-0.60,1.85,-0.56,3.19,-0.56,1.81,-0.34,0.87,0.06,0.87,0.06,1.81,-0.34,2.06,-0.33,3.30,0.96,14.73,-8.89,14.73,-8.89,2.29,0.00
2024-01-01 03:30:00,1.75,-0.57,3.26,-0.61,6.14,-1.17,3.26,-0.61,1.75,-0.57,3.07,-0.58,1.74,-0.34,0.82,0.05,0.82,0.05,1.74,-0.34,2.03,-0.33,3.22,0.94,14.23,-8.86,14.23,-8.86,2.22,0.00
2024-01-01 04:00:00,1.69,-0.55,3.08,-0.58,5.85,-1.13,3.08,-0.58,1.69,-0.55,2.92,-0.56,1.74,-0.34,0.76,0.05,0.76,0.05,1.74,-0.34,2.05,-0.33,3.12,0.91,13.67,-8.92,13.67,-8.92,2.22,0.00
2024-01-01 04:30:00,1.63,-0.54,2.90,-0.58,5.61,-1.10,2.90,-0.58,1.63,-0.54,2.80,-0.55,1.67,-0.34,0.74,0.05,0.74,0.05,1.67,-0.34,2.05,-0.33,3.01,0.88,13.31,-9.03,13.31,-9.03,2.22,0.00
2024-01-01 05:00:00,1.63,-0.54,2.76,-0.58,5.39,-1.10,2.76,-0.58,1.63,-0.54,2.70,-0.55,1.65,-0.34,0.71,0.04,0.71,0.04,1.65,-0.34,1.95,-0.31,2.95,0.86,12.91,-8.97,12.91,-8.97,2.22,0.00
2024-01-01 05:30:00,1.59,-0.53,2.64,-0.58,5.19,-1.10,2.64,-0.58,1.59,-0.53,2.60,-0.55,1.63,-0.33,0.71,0.04,0.71,0.04,1.63,-0.33,1.95,-0.31,3.01,0.88,12.89,-8.93,12.89,-8.93,2.22,0.00
2024-01-01 06:00:00,1.64,-0.53,2.58,-0.60,5.05,-1.10,2.58,-0.60,1.64,-0.53,2.53,-0.55,1.64,-0.33,0.71,0.05,0.71,0.05,1.64,-0.33,2.02,-0.31,2.94,0.86,12.97,-8.90,12.97,-8.90,2.22,0.00
2024-01-01 06:30:00,1.63,-0.52,2.62,-0.58,5.05,-1.13,2.62,-0.58,1.63,-0.52,2.53,-0.56,1.64,-0.33,0.74,0.06,0.74,0.06,1.64,-0.33,2.11,-0.31,3.04,0.89,13.51,-8.76,13.51,-8.76,2.34,0.00
2024-01-01 07:00:00,1.71,-0.52,2.73,-0.56,5.26,-1.09,2.73,-0.56,1.71,-0.52,2.63,-0.54,1.66,-0.32,0.79,0.05,0.79,0.05,1.66,-0.32,2.13,-0.27,3.04,0.89,13.72,-8.73,13.72,-8.73,2.34,0.00
2024-01-01 07:30:00,1.80,-0.52,2.80,-0.54,5.31,-1.06,2.80,-0.54,1.80,-0.52,2.66,-0.53,1.68,-0.32,0.80,0.05,0.80,0.05,1.68,-0.32,2.17,-0.27,3.13,0.91,14.14,-8.72,14.14,-8.72,2.34,0.00
2024-01-01 08:00:00,1.90,-0.52,2.80,-0.54,5.61,-1.03,2.80,-0.54,1.90,-0.52,2.80,-0.52,1.72,-0.30,0.83,0.06,0.83,0.06,1.72,-0.30,2.20,-0.26,3.11,0.91,14.25,-8.60,14.25,-8.60,2.42,0.00
2024-01-01 08:30:00,1.94,-0.49,2.76,-0.52,5.80,-0.95,2.76,-0.52,1.94,-0.49,2.90,-0.48,1.72,-0.30,0.82,0.04,0.82,0.04,1.72,-0.30,2.20,-0.26,3.10,0.90,14.58,-8.59,14.58,-8.59,2.48,0.00
2024-01-01 09:00:00,1.98,-0.48,2.86,-0.54,6.13,-1.00,2.86,-0.54,1.98,-0.48,3.06,-0.50,1.75,-0.28,0.84,0.05,0.84,0.05,1.75,-0.28,2.33,-0.27,3.13,0.91,15.34,-8.53,15.34,-8.53,2.53,0.00
2024-01-01 09:30:00,2.08,-0.46,3.06,-0.56,6.45,-1.00,3.06,-0.56,2.08,-0.46,3.22,-0.50,1.86,-0.28,0.89,0.05,0.89,0.05,1.86,-0.28,2.41,-0.27,3.20,0.93,16.35,-8.27,16.35,-8.27,2.65,0.00
2024-01-01 10:00:00,2.27,-0.45,3.30,-0.52,7.00,-0.98,3.30,-0.52,2.27,-0.45,3.50,-0.49,1.98,-0.28,0.94,0.05,0.94,0.05,1.98,-0.28,2.51,-0.24,3.18,0.93,17.09,-8.06,17.09,-8.06,2.73,0.00
2024-01-01 10:30:00,2.38,-0.45,3.52,-0.50,7.46,-0.92,3.52,-0.50,2.38,-0.45,3.73,-0.46,2.06,-0.28,1.00,0.05,1.00,0.05,2.06,-0.28,2.64,-0.25,3.28,0.96,18.02,-7.96,18.02,-7.96,2.86,0.00
2024-01-01 11:00:00,2.37,-0.48,3.66,-0.50,8.06,-0.86,3.66,-0.50,2.37,-0.48,4.03,-0.43,2.18,-0.28,1.08,0.05,1.08,0.05,2.18,-0.28,2.72,-0.25,3.48,1.02,19.01,-7.69,19.01,-7.69,2.92,0.00
