Power Units_Bus Number,MW_37560,MVAr_37560,MW_37561,MVAr_37561,MW_37870,MVAr_37870,MW_38241,MVAr_38241,MW_38242,MVAr_38242,MW_38410,MVAr_38410,MW_38490,MVAr_38490,MW_39230,MVAr_39230,MW_39231,MVAr_39231,MW_39361,MVAr_39361,MW_39680,MVAr_39680,MW_39700,MVAr_39700,MW_39701,MVAr_39701,MW_372800,MVAr_372800,MW_372801,MVAr_372801,MW_374500,MVAr_374500,MW_374501,MVAr_374501,MW_393100,MVAr_393100,MW_393101,MVAr_393101
2024-01-01 00:30:00,2.87,0.84,2.72,0.79,8.78,2.56,5.19,1.52,5.19,1.52,10.04,-0.71,8.14,2.21,2.50,0.73,2.50,0.73,7.81,2.28,7.54,2.20,3.48,1.02,3.14,0.92,17.10,-5.19,17.10,-5.19,18.23,5.32,18.23,5.32,33.61,-26.12,33.61,-26.12
2024-01-01 01:00:00,3.03,0.88,2.84,0.83,9.55,2.79,5.32,1.55,5.32,1.55,10.04,-0.71,9.10,2.49,2.52,0.73,2.52,0.73,7.78,2.27,7.56,2.20,3.48,1.02,3.33,0.97,17.06,-4.97,17.06,-4.97,18.35,5.35,18.35,5.35,35.12,-25.45,35.12,-25.45
2024-01-01 01:30:00,2.97,0.86,2.76,0.80,9.75,2.84,5.37,1.56,5.37,1.56,9.90,-0.71,9.28,2.54,2.45,0.71,2.45,0.71,7.66,2.23,7.75,2.26,3.37,0.98,3.30,0.96,16.94,-4.75,16.94,-4.75,19.57,5.71,19.57,5.71,35.04,-25.45,35.04,-25.45
2024-01-01 02:00:00,2.77,0.81,2.57,0.75,9.36,2.73,5.28,1.54,5.28,1.54,9.53,-0.71,8.92,2.44,2.33,0.68,2.33,0.68,7.30,2.13,7.72,2.25,3.24,0.95,3.19,0.93,16.82,-4.80,16.82,-4.80,19.64,5.73,19.64,5.73,33.61,-25.85,33.61,-25.85
2024-01-01 02:30:00,2.68,0.78,2.40,0.70,8.99,2.62,5.21,1.52,5.21,1.52,9.27,-0.71,8.27,2.25,2.22,0.65,2.22,0.65,7.01,2.04,7.43,2.17,3.08,0.90,3.00,0.87,15.59,-4.86,15.59,-4.86,19.03,5.55,19.03,5.55,32.06,-26.20,32.06,-26.20
2024-01-01 03:00:00,2.71,0.79,2.26,0.66,8.70,2.54,5.13,1.50,5.13,1.50,9.08,-0.71,7.84,2.13,2.17,0.63,2.17,0.63,6.69,1.95,7.20,2.10,2.99,0.87,2.92,0.85,15.59,-4.72,15.59,-4.72,18.37,5.36,18.37,5.36,30.58,-26.70,30.58,-26.70
2024-01-01 03:30:00,2.62,0.76,2.19,0.64,8.31,2.42,5.08,1.48,5.08,1.48,8.93,-0.71,7.52,2.03,2.08,0.61,2.08,0.61,6.46,1.88,6.84,1.99,2.91,0.85,2.82,0.82,15.03,-4.64,15.03,-4.64,17.74,5.17,17.74,5.17,29.49,-26.82,29.49,-26.82
2024-01-01 04:00:00,2.53,0.74,2.09,0.61,7.98,2.33,5.02,1.46,5.02,1.46,8.74,-0.71,7.29,1.96,2.03,0.59,2.03,0.59,6.21,1.81,6.56,1.92,2.82,0.82,2.72,0.79,14.61,-4.59,14.61,-4.59,16.98,4.95,16.98,4.95,28.52,-27.08,28.52,-27.08
2024-01-01 04:30:00,2.49,0.72,2.03,0.59,7.69,2.24,4.97,1.45,4.97,1.45,8.60,-0.71,6.87,1.84,2.01,0.58,2.01,0.58,6.17,1.80,6.38,1.86,2.80,0.82,2.61,0.76,14.20,-4.67,14.20,-4.67,16.52,4.82,16.52,4.82,27.68,-27.31,27.68,-27.31
2024-01-01 05:00:00,2.43,0.71,1.95,0.57,7.46,2.18,4.93,1.44,4.93,1.44,8.60,-0.71,6.51,1.74,1.99,0.58,1.99,0.58,6.08,1.77,6.33,1.85,2.78,0.81,2.53,0.74,13.96,-4.67,13.96,-4.67,16.09,4.69,16.09,4.69,26.98,-27.27,26.98,-27.27
