Power Units_Bus Number,MW_12160,MVAr_12160,MW_12161,MVAr_12161,MW_12162,MVAr_12162,MW_12163,MVAr_12163,MW_12164,MVAr_12164,MW_12165,MVAr_12165,MW_12214,MVAr_12214,MW_12215,MVAr_12215,MW_12362,MVAr_12362,MW_12363,MVAr_12363,MW_12422,MVAr_12422,MW_12423,MVAr_12423,MW_12424,MVAr_12424,MW_12425,MVAr_12425,MW_12426,MVAr_12426,MW_123400,MVAr_123400,MW_211200,MVAr_211200,MW_211402,MVAr_211402,MW_211406,MVAr_211406
2024-01-01 00:30:00,1.17,-0.28,3.45,-0.53,3.45,-0.53,1.17,-0.28,2.32,-0.32,2.32,-0.32,5.73,-0.74,6.60,-1.48,3.23,-2.19,2.38,-1.33,3.61,-0.38,1.47,-0.22,2.79,-0.25,3.71,-0.94,4.27,-0.30,3.86,0.00,2.68,-0.61,25.63,-12.32,25.63,-12.32
2024-01-01 01:00:00,1.15,-0.28,3.56,-0.53,3.56,-0.53,1.15,-0.28,2.32,-0.32,2.32,-0.32,5.69,-0.68,6.41,-1.53,3.09,-2.19,2.26,-1.38,3.68,-0.38,1.39,-0.22,2.79,-0.28,3.77,-0.91,4.13,-0.37,4.16,0.00,2.68,-0.63,26.21,-12.13,26.21,-12.13
2024-01-01 01:30:00,1.15,-0.28,3.52,-0.52,3.52,-0.52,1.15,-0.28,2.53,-0.32,2.53,-0.32,5.84,-0.64,6.50,-1.47,3.01,-2.19,2.23,-1.35,3.86,-0.38,1.23,-0.22,3.08,-0.28,4.03,-0.85,4.08,-0.37,4.16,0.00,2.67,-0.62,26.01,-12.18,26.01,-12.18
2024-01-01 02:00:00,1.15,-0.28,3.36,-0.52,3.36,-0.52,1.15,-0.28,2.52,-0.32,2.52,-0.32,5.74,-0.71,6.31,-1.47,2.98,-2.19,2.23,-1.32,3.83,-0.38,1.23,-0.22,3.06,-0.28,4.10,-0.84,4.10,-0.37,4.05,0.00,2.55,-0.67,25.27,-12.34,25.27,-12.34
2024-01-01 02:30:00,1.12,-0.28,3.31,-0.52,3.31,-0.52,1.12,-0.28,2.44,-0.32,2.44,-0.32,5.59,-0.71,6.06,-1.50,2.85,-2.19,2.11,-1.35,3.83,-0.34,1.25,-0.22,2.95,-0.25,4.00,-0.84,4.06,-0.39,4.05,0.00,2.84,-0.63,24.86,-12.31,24.86,-12.31
2024-01-01 03:00:00,1.11,-0.28,3.20,-0.54,3.20,-0.54,1.11,-0.28,2.34,-0.32,2.34,-0.32,5.46,-0.62,5.89,-1.47,2.72,-2.17,1.99,-1.35,3.83,-0.33,1.17,-0.22,2.75,-0.25,3.94,-0.86,4.12,-0.35,3.82,0.00,2.90,-0.64,24.29,-12.59,24.29,-12.59
2024-01-01 03:30:00,1.11,-0.28,3.10,-0.48,3.10,-0.48,1.11,-0.28,2.27,-0.32,2.27,-0.32,5.30,-0.65,5.73,-1.49,2.59,-2.21,1.87,-1.41,3.73,-0.35,1.29,-0.22,2.75,-0.28,3.80,-0.86,4.07,-0.38,3.72,0.00,2.84,-0.62,24.49,-12.41,24.49,-12.41
2024-01-01 04:00:00,1.08,-0.28,2.97,-0.52,2.97,-0.52,1.08,-0.28,2.16,-0.32,2.16,-0.32,5.26,-0.60,5.59,-1.46,2.43,-2.21,1.79,-1.38,3.64,-0.32,2.85,-0.22,2.64,-0.28,3.73,-0.86,4.12,-0.38,3.57,0.00,2.99,-0.59,24.20,-12.49,24.20,-12.49
2024-01-01 04:30:00,1.08,-0.28,2.90,-0.52,2.90,-0.52,1.08,-0.28,2.11,-0.32,2.11,-0.32,5.13,-0.60,5.52,-1.45,2.34,-2.24,1.79,-1.36,3.52,-0.34,3.13,-0.22,2.51,-0.30,3.61,-0.88,4.15,-0.32,3.57,0.00,3.82,-0.61,24.27,-12.58,24.27,-12.58
2024-01-01 05:00:00,1.08,-0.28,2.82,-0.50,2.82,-0.50,1.08,-0.28,2.03,-0.32,2.03,-0.32,5.03,-0.64,5.44,-1.44,2.28,-2.25,1.75,-1.38,3.49,-0.31,3.21,-0.22,2.47,-0.30,3.54,-0.84,4.15,-0.32,3.57,0.00,3.83,-0.68,24.04,-12.53,24.04,-12.53
