"SETTLEMENT_DATE","SETTLEMENT_PERIOD","ND","TSD","ENGLAND_WALES_DEMAND","EMBEDDED_WIND_GENERATION","EMBEDDED_WIND_CAPACITY","EMBEDDED_SOLAR_GENERATION","EMBEDDED_SOLAR_CAPACITY","NON_BM_STOR","PUMP_STORAGE_PUMPING","SCOTTISH_TRANSFER","IFA_FLOW","IFA2_FLOW","BRITNED_FLOW","MOYLE_FLOW","EAST_WEST_FLOW","NEMO_FLOW","NSL_FLOW","ELECLINK_FLOW","VIKING_FLOW","GREENLINK_FLOW"
"2006-01-01",1,38596,39660,34982,NA,NA,NA,NA,0,295,NA,1997,NA,NA,-169,NA,NA,NA,NA,NA,NA
"2006-01-01",2,38829,39897,35312,NA,NA,NA,NA,0,299,NA,1997,NA,NA,-169,NA,NA,NA,NA,NA,NA
"2006-01-01",3,38456,39599,35018,NA,NA,NA,NA,0,374,NA,1998,NA,NA,-169,NA,NA,NA,NA,NA,NA
"2006-01-01",4,37401,38823,34054,NA,NA,NA,NA,0,653,NA,1998,NA,NA,-169,NA,NA,NA,NA,NA,NA
"2006-01-01",5,36586,37937,33297,NA,NA,NA,NA,0,582,NA,1998,NA,NA,-169,NA,NA,NA,NA,NA,NA
"2006-01-01",6,36115,37501,32754,NA,NA,NA,NA,0,617,NA,1998,NA,NA,-169,NA,NA,NA,NA,NA,NA
"2006-01-01",7,34942,37320,31312,NA,NA,NA,NA,0,1609,NA,1998,NA,NA,-169,NA,NA,NA,NA,NA,NA
"2006-01-01",8,33454,36151,29908,NA,NA,NA,NA,0,1928,NA,1998,NA,NA,-169,NA,NA,NA,NA,NA,NA
"2006-01-01",9,32366,35029,28739,NA,NA,NA,NA,0,1894,NA,1999,NA,NA,-169,NA,NA,NA,NA,NA,NA
"2006-01-01",10,31811,34453,28091,NA,NA,NA,NA,0,1873,NA,1999,NA,NA,-169,NA,NA,NA,NA,NA,NA
"2006-01-01",11,31013,33680,27359,NA,NA,NA,NA,0,1898,NA,1999,NA,NA,-169,NA,NA,NA,NA,NA,NA
"2006-01-01",12,30562,33265,27010,NA,NA,NA,NA,0,1934,NA,1998,NA,NA,-169,NA,NA,NA,NA,NA,NA
"2006-01-01",13,30482,33171,27005,NA,NA,NA,NA,0,1920,NA,1998,NA,NA,-169,NA,NA,NA,NA,NA,NA
"2006-01-01",14,30114,32781,26668,NA,NA,NA,NA,0,1898,NA,1986,NA,NA,-169,NA,NA,NA,NA,NA,NA
"2006-01-01",15,29441,31248,26106,NA,NA,NA,NA,0,1038,NA,1713,NA,NA,-169,NA,NA,NA,NA,NA,NA
"2006-01-01",16,28660,29972,25457,NA,NA,NA,NA,0,543,NA,1410,NA,NA,-169,NA,NA,NA,NA,NA,NA
"2006-01-01",17,28776,30085,25629,NA,NA,NA,NA,0,540,NA,1402,NA,NA,-169,NA,NA,NA,NA,NA,NA
"2006-01-01",18,29486,30624,26428,NA,NA,NA,NA,0,369,NA,1402,NA,NA,-169,NA,NA,NA,NA,NA,NA
"2006-01-01",19,30841,31619,27754,NA,NA,NA,NA,0,9,NA,1547,NA,NA,-169,NA,NA,NA,NA,NA,NA
"2006-01-01",20,32510,33279,29320,NA,NA,NA,NA,0,0,NA,0,NA,NA,-169,NA,NA,NA,NA,NA,NA
"2006-01-01",21,34280,35053,31050,NA,NA,NA,NA,0,4,NA,2095,NA,NA,-169,NA,NA,NA,NA,NA,NA
"2006-01-01",22,35855,36627,32474,NA,NA,NA,NA,0,3,NA,1897,NA,NA,-169,NA,NA,NA,NA,NA,NA
"2006-01-01",23,37221,37993,33684,NA,NA,NA,NA,0,3,NA,1897,NA,NA,-169,NA,NA,NA,NA,NA,NA
"2006-01-01",24,38304,39076,34642,NA,NA,NA,NA,0,3,NA,1897,NA,NA,-169,NA,NA,NA,NA,NA,NA
"2006-01-01",25,39150,39922,35386,NA,NA,NA,NA,0,3,NA,1898,NA,NA,-169,NA,NA,NA,NA,NA,NA
"2006-01-01",26,39434,40206,35615,NA,NA,NA,NA,0,3,NA,1898,NA,NA,-169,NA,NA,NA,NA,NA,NA
"2006-01-01",27,39467,40239,35636,NA,NA,NA,NA,0,3,NA,1997,NA,NA,-169,NA,NA,NA,NA,NA,NA
"2006-01-01",28,39192,39965,35355,NA,NA,NA,NA,0,4,NA,1997,NA,NA,-169,NA,NA,NA,NA,NA,NA
"2006-01-01",29,39116,39889,35360,NA,NA,NA,NA,0,4,NA,1997,NA,NA,-169,NA,NA,NA,NA,NA,NA
"2006-01-01",30,38734,39507,34996,NA,NA,NA,NA,0,4,NA,1997,NA,NA,-169,NA,NA,NA,NA,NA,NA
"2006-01-01",31,38868,39642,35095,NA,NA,NA,NA,0,5,NA,1997,NA,NA,-169,NA,NA,NA,NA,NA,NA
