SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,SCOTTISH_TRANSFER,IFA_FLOW,IFA2_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,NEMO_FLOW,NSL_FLOW,ELECLINK_FLOW,VIKING_FLOW,GREENLINK_FLOW
2009-01-01,00:00:00,37910,38704,33939,54,1403,0,0,0,33,0,2002,0,0,-161,0,0,0,0,0,0
2009-01-01,00:30:00,38047,38964,34072,53,1403,0,0,0,157,0,2002,0,0,-160,0,0,0,0,0,0
2009-01-01,01:00:00,37380,38651,33615,53,1403,0,0,0,511,0,2002,0,0,-160,0,0,0,0,0,0
2009-01-01,01:30:00,36426,37775,32526,50,1403,0,0,0,589,0,1772,0,0,-160,0,0,0,0,0,0
2009-01-01,02:00:00,35687,37298,31877,50,1403,0,0,0,851,0,1753,0,0,-160,0,0,0,0,0,0
2009-01-01,02:30:00,35408,37135,31604,43,1403,0,0,0,967,0,1754,0,0,-160,0,0,0,0,0,0
2009-01-01,03:00:00,34322,36844,30486,43,1403,0,0,0,1762,0,1754,0,0,-160,0,0,0,0,0,0
2009-01-01,03:30:00,33076,35678,29390,56,1403,0,0,0,1842,0,1755,0,0,-160,0,0,0,0,0,0
2009-01-01,04:00:00,31970,34635,28452,56,1403,0,0,0,1905,0,1755,0,0,-160,0,0,0,0,0,0
2009-01-01,04:30:00,31270,33934,27842,56,1403,0,0,0,1904,0,1754,0,0,-160,0,0,0,0,0,0
2009-01-01,05:00:00,30726,33378,27395,56,1403,0,0,0,1892,0,1754,0,0,-160,0,0,0,0,0,0
2009-01-01,05:30:00,30320,32915,27021,57,1403,0,0,0,1867,0,1754,0,0,-128,0,0,0,0,0,0
2009-01-01,06:00:00,30429,32875,27128,57,1403,0,0,0,1846,0,1754,0,0,38,0,0,0,0,0,0
2009-01-01,06:30:00,30287,32720,27005,73,1403,0,0,0,1833,0,1753,0,0,18,0,0,0,0,0,0
2009-01-01,07:00:00,29650,31900,26478,73,1403,0,0,0,1650,0,1690,0,0,16,0,0,0,0,0,0
2009-01-01,07:30:00,28841,31055,25834,75,1403,0,0,0,1614,0,1689,0,0,16,0,0,0,0,0,0
2009-01-01,08:00:00,29007,31094,26030,75,1403,0,0,0,1487,0,1689,0,0,15,0,0,0,0,0,0
2009-01-01,08:30:00,29787,31440,26861,63,1403,0,0,0,1037,0,1690,0,0,-16,0,0,0,0,0,0
2009-01-01,09:00:00,31362,32079,28330,63,1403,0,0,0,56,0,1689,0,0,-61,0,0,0,0,0,0
2009-01-01,09:30:00,33257,33926,30081,66,1403,0,0,0,4,0,1689,0,0,-65,0,0,0,0,0,0
2009-01-01,10:00:00,34932,35602,31552,66,1403,0,0,0,5,0,1689,0,0,-65,0,0,0,0,0,0
2009-01-01,10:30:00,36579,37312,33009,63,1403,0,0,0,4,0,1690,0,0,-129,0,0,0,0,0,0
2009-01-01,11:00:00,37967,38751,34275,63,1403,0,0,0,4,0,1691,0,0,-180,0,0,0,0,0,0
2009-01-01,11:30:00,39235,40013,35376,61,1403,0,0,0,8,0,1691,0,0,-170,0,0,0,0,0,0
2009-01-01,12:00:00,40204,41058,36211,61,1403,0,0,0,8,0,1691,0,0,-246,0,0,0,0,0,0
2009-01-01,12:30:00,40672,41457,36617,59,1403,0,0,0,8,0,1691,0,0,-177,0,0,0,0,0,0
2009-01-01,13:00:00,40806,41479,36743,59,1403,0,0,0,8,0,1691,0,0,-65,0,0,0,0,0,0
2009-01-01,13:30:00,40781,41450,36689,39,1403,0,0,0,4,0,1690,0,0,-65,0,0,0,0,0,0
2009-01-01,14:00:00,40758,41427,36823,39,1403,0,0,0,4,0,1691,0,0,-65,0,0,0,0,0,0
2009-01-01,14:30:00,40524,41189,36628,35,1403,0,0,0,3,0,1691,0,0,-62,0,0,0,0,0,0
2009-01-01,15:00:00,40796,41417,36821,35,1403,0,0,0,1,0,1753,0,0,-20,0,0,0,0,0,0
2009-01-01,15:30:00,41703,42332,37662,49,1403,0,0,0,4,0,1753,0,0,-25,0,0,0,0,0,0
2009-01-01,16:00:00,43527,44133,39276,49,1403,0,0,0,6,0,1754,0,0,15,0,0,0,0,0,0
2009-01-01,16:30:00,45488,46096,41089,72,1403,0,0,0,8,0,1754,0,0,16,0,0,0,0,0,0
2009-01-01,17:00:00,46028,46634,41651,72,1403,0,0,0,6,0,1754,0,0,15,0,0,0,0,0,0
2009-01-01,17:30:00,45876,46515,41574,77,1403,0,0,0,8,0,1754,0,0,-31,0,0,0,0,0,0
2009-01-01,18:00:00,45195,45865,41004,77,1403,0,0,0,9,0,1754,0,0,-61,0,0,0,0,0,0
2009-01-01,18:30:00,44289,44965,40175,93,1403,0,0,0,11,0,1754,0,0,-65,0,0,0,0,0,0
2009-01-01,19:00:00,43784,44579,39744,93,1403,0,0,0,6,0,1751,0,0,-189,0,0,0,0,0,0
2009-01-01,19:30:00,42583,43425,38602,100,1403,0,0,0,8,0,1752,0,0,-234,0,0,0,0,0,0
2009-01-01,20:00:00,42181,43000,38089,100,1403,0,0,0,7,0,1752,0,0,-212,0,0,0,0,0,0
2009-01-01,20:30:00,40746,41596,36856,107,1403,0,0,0,11,0,1752,0,0,-239,0,0,0,0,0,0
2009-01-01,21:00:00,39961,40813,36029,107,1403,0,0,0,11,0,1751,0,0,-241,0,0,0,0,0,0
2009-01-01,21:30:00,38333,39182,34546,89,1403,0,0,0,8,0,1752,0,0,-241,0,0,0,0,0,0
2009-01-01,22:00:00,36951,37797,33218,89,1403,0,0,0,5,0,1751,0,0,-241,0,0,0,0,0,0
2009-01-01,22:30:00,35987,36781,32163,82,1403,0,0,0,13,0,1345,0,0,-181,0,0,0,0,0,0
2009-01-01,23:00:00,34769,36116,31016,82,1403,0,0,0,693,0,806,0,0,-54,0,0,0,0,0,0
2009-01-01,23:30:00,33504,35379,29927,62,1403,0,0,0,1235,0,916,0,0,-40,0,0,0,0,0,0
2009-01-02,00:00:00,34221,35837,30659,62,1403,0,0,0,976,0,916,0,0,-40,0,0,0,0,0,0
2009-01-02,00:30:00,34029,36024,30506,82,1403,0,0,0,1226,0,904,0,0,-169,0,0,0,0,0,0
