DATETIME,day_ahead_price
2015-01-01,26.57
2015-01-02,26.57
2015-01-03,26.57
2015-01-04,26.57
2015-01-05,26.57
2015-01-06,26.57
2015-01-07,26.57
2015-01-08,26.57
2015-01-09,26.57
2015-01-10,26.57
2015-01-11,26.57
2015-01-12,26.57
2015-01-13,26.57
2015-01-14,26.57
2015-01-15,26.57
2015-01-16,26.57
2015-01-17,26.57
2015-01-18,26.57
2015-01-19,26.57
2015-01-20,26.57
2015-01-21,26.57
2015-01-22,26.57
2015-01-23,26.57
2015-01-24,26.57
2015-01-25,26.57
2015-01-26,26.57
2015-01-27,26.57
2015-01-28,26.57
2015-01-29,26.57
2015-01-30,26.57
2015-01-31,26.57
2015-02-01,26.57
2015-02-02,26.57
2015-02-03,26.57
2015-02-04,26.57
2015-02-05,26.57
2015-02-06,26.57
2015-02-07,26.57
2015-02-08,26.57
2015-02-09,26.57
2015-02-10,26.57
2015-02-11,26.57
2015-02-12,26.57
2015-02-13,26.57
2015-02-14,26.57
2015-02-15,26.57
2015-02-16,26.57
2015-02-17,26.57
2015-02-18,26.57
2015-02-19,26.57
2015-02-20,26.57
2015-02-21,26.57
2015-02-22,26.57
2015-02-23,26.57
2015-02-24,26.57
2015-02-25,26.57
2015-02-26,26.57
2015-02-27,26.57
2015-02-28,26.57
2015-03-01,26.57
2015-03-02,26.57
2015-03-03,26.57
2015-03-04,26.57
2015-03-05,26.57
2015-03-06,26.57
2015-03-07,26.57
2015-03-08,26.57
2015-03-09,26.57
2015-03-10,26.57
2015-03-11,26.57
2015-03-12,26.57
2015-03-13,26.57
2015-03-14,26.57
2015-03-15,26.57
2015-03-16,26.57
2015-03-17,26.57
2015-03-18,26.57
2015-03-19,26.57
2015-03-20,26.57
2015-03-21,26.57
2015-03-22,26.57
2015-03-23,26.57
2015-03-24,26.57
2015-03-25,26.57
2015-03-26,26.57
2015-03-27,26.57
2015-03-28,26.57
2015-03-29,26.57
2015-03-30,26.57
2015-03-31,26.57
2015-04-01,26.57
2015-04-02,26.57
2015-04-03,26.57
2015-04-04,26.57
2015-04-05,26.57
2015-04-06,26.57
2015-04-07,26.57
2015-04-08,26.57
2015-04-09,26.57
2015-04-10,26.57
2015-04-11,26.57
2015-04-12,26.57
2015-04-13,26.57
2015-04-14,26.57
2015-04-15,26.57
2015-04-16,26.57
2015-04-17,26.57
2015-04-18,26.57
2015-04-19,26.57
2015-04-20,26.57
2015-04-21,26.57
2015-04-22,26.57
2015-04-23,26.57
2015-04-24,26.57
2015-04-25,26.57
2015-04-26,26.57
2015-04-27,26.57
2015-04-28,26.57
2015-04-29,26.57
2015-04-30,26.57
2015-05-01,26.57
2015-05-02,26.57
2015-05-03,26.57
2015-05-04,26.57
2015-05-05,26.57
2015-05-06,26.57
2015-05-07,26.57
2015-05-08,26.57
2015-05-09,26.57
2015-05-10,26.57
2015-05-11,26.57
2015-05-12,26.57
2015-05-13,26.57
2015-05-14,26.57
2015-05-15,26.57
2015-05-16,26.57
2015-05-17,26.57
2015-05-18,26.57
2015-05-19,26.57
2015-05-20,26.57
2015-05-21,26.57
2015-05-22,26.57
2015-05-23,26.57
2015-05-24,26.57
2015-05-25,26.57
2015-05-26,26.57
2015-05-27,26.57
2015-05-28,26.57
2015-05-29,26.57
2015-05-30,26.57
2015-05-31,26.57
2015-06-01,26.57
2015-06-02,26.57
2015-06-03,26.57
2015-06-04,26.57
2015-06-05,26.57
2015-06-06,26.57
2015-06-07,26.57
2015-06-08,26.57
2015-06-09,26.57
2015-06-10,26.57
2015-06-11,26.57
2015-06-12,26.57
2015-06-13,26.57
2015-06-14,26.57
2015-06-15,26.57
2015-06-16,26.57
2015-06-17,26.57
2015-06-18,26.57
2015-06-19,26.57
2015-06-20,26.57
2015-06-21,26.57
2015-06-22,26.57
2015-06-23,26.57
2015-06-24,26.57
2015-06-25,26.57
2015-06-26,26.57
2015-06-27,26.57
2015-06-28,26.57
2015-06-29,26.57
2015-06-30,26.57
2015-07-01,26.57
2015-07-02,26.57
2015-07-03,26.57
2015-07-04,26.57
2015-07-05,26.57
2015-07-06,26.57
2015-07-07,26.57
2015-07-08,26.57
2015-07-09,26.57
2015-07-10,26.57
2015-07-11,26.57
2015-07-12,26.57
2015-07-13,26.57
2015-07-14,26.57
2015-07-15,26.57
2015-07-16,26.57
2015-07-17,26.57
2015-07-18,26.57
2015-07-19,26.57
2015-07-20,26.57
2015-07-21,26.57
2015-07-22,26.57
2015-07-23,26.57
2015-07-24,26.57
2015-07-25,26.57
2015-07-26,26.57
2015-07-27,26.57
2015-07-28,26.57
2015-07-29,26.57
2015-07-30,26.57
2015-07-31,26.57
2015-08-01,26.57
2015-08-02,26.57
2015-08-03,26.57
2015-08-04,26.57
2015-08-05,26.57
2015-08-06,26.57
2015-08-07,26.57
2015-08-08,26.57
2015-08-09,26.57
2015-08-10,26.57
2015-08-11,26.57
2015-08-12,26.57
2015-08-13,26.57
2015-08-14,26.57
2015-08-15,26.57
2015-08-16,26.57
2015-08-17,26.57
2015-08-18,26.57
2015-08-19,26.57
2015-08-20,26.57
2015-08-21,26.57
2015-08-22,26.57
2015-08-23,26.57
2015-08-24,26.57
2015-08-25,26.57
2015-08-26,26.57
2015-08-27,26.57
2015-08-28,26.57
2015-08-29,26.57
2015-08-30,26.57
2015-08-31,26.57
2015-09-01,26.57
2015-09-02,26.57
2015-09-03,26.57
2015-09-04,26.57
2015-09-05,26.57
2015-09-06,26.57
2015-09-07,26.57
2015-09-08,26.57
2015-09-09,26.57
2015-09-10,26.57
2015-09-11,26.57
2015-09-12,26.57
2015-09-13,26.57
2015-09-14,26.57
2015-09-15,26.57
2015-09-16,26.57
2015-09-17,26.57
2015-09-18,26.57
2015-09-19,26.57
2015-09-20,26.57
2015-09-21,26.57
2015-09-22,26.57
2015-09-23,26.57
2015-09-24,26.57
2015-09-25,26.57
2015-09-26,26.57
2015-09-27,26.57
2015-09-28,26.57
2015-09-29,26.57
2015-09-30,26.57
2015-10-01,26.57
2015-10-02,26.57
2015-10-03,26.57
2015-10-04,26.57
2015-10-05,26.57
2015-10-06,26.57
2015-10-07,26.57
2015-10-08,26.57
2015-10-09,26.57
2015-10-10,26.57
2015-10-11,26.57
2015-10-12,26.57
2015-10-13,26.57
2015-10-14,26.57
2015-10-15,26.57
2015-10-16,26.57
2015-10-17,26.57
2015-10-18,26.57
2015-10-19,26.57
2015-10-20,26.57
2015-10-21,26.57
2015-10-22,26.57
2015-10-23,26.57
2015-10-24,26.57
2015-10-25,26.57
2015-10-26,26.57
2015-10-27,26.57
2015-10-28,26.57
2015-10-29,26.57
2015-10-30,26.57
2015-10-31,26.57
2015-11-01,26.57
2015-11-02,26.57
2015-11-03,26.57
2015-11-04,26.57
2015-11-05,26.57
2015-11-06,26.57
2015-11-07,45.64157333333333
2015-11-08,33.336761875
2015-11-09,36.750418958333334
2015-11-10,35.833471458333335
2015-11-11,32.603214375
2015-11-12,30.276684583333335
2015-11-13,41.05764
2015-11-14,51.62779666666666
2015-11-15,40.72200291666667
2015-11-16,32.046693749999996
2015-11-17,45.053571041666665
2015-11-18,44.32166874999999
2015-11-19,41.595694583333334
2015-11-20,30.854176041666665
2015-11-21,48.11480125
2015-11-22,39.77244854166667
2015-11-23,39.5719225
2015-11-24,46.103716041666665
2015-11-25,45.37641333333334
2015-11-26,39.644198958333334
2015-11-27,38.676020625
2015-11-28,42.34434395833333
2015-11-29,42.205508333333334
2015-11-30,135.45736979166665
2015-12-01,45.71119708333333
2015-12-02,37.54701
2015-12-03,31.523650208333333
