,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21
bishops-wood,0.2568337399490153,0.11039267721939217,0.02031256769452055,-0.07707491171798773,-0.23341557948509337,-0.087040697894032,-0.07814480417869661,0.013575043424394388,0.09833479097720754,-0.028610504092014113,-0.1483620769340215,0.39122936878092734,-0.31271493777518605,-0.46007915913370423,-0.1415579912183577,0.46946547144006184,0.17961182900942668,0.12187131345568714,0.2382906302034346,0.0858628442357424,0.020471494122930176
bustleholm,0.2559587120059289,-0.15975889825466155,-0.025232742000099843,-0.1049867243610523,-0.21785827208372943,0.04421076919473398,0.04583233888960486,0.01922250495826074,-0.0792073055204342,0.021345537481765,0.050443664452442596,-0.10524974342151595,-0.08699620932950218,0.22299330506895965,-0.09499295196684275,0.1907391287226263,-0.2183371280424087,-0.015084402570756862,-0.15424605979322287,-0.0988370031494119,0.8005661929424326
drakelow,0.2119529678304432,0.23582006415047843,-0.15663878029957104,0.077243514108253,0.1998546848793579,0.4278268238371617,-0.034131461264186994,0.40823554376725746,0.0031814729158541302,-0.21382159638320902,-0.35701135138733986,-0.3184772544296772,0.08257231089384758,-0.031068893818504504,-0.3655898770402121,0.06283032121658068,0.18976275179426785,-0.12607102927025637,-0.07813097761980842,-0.00028363158848950936,-0.012393409294216057
feckenham,0.13808446584936654,0.40270267775220914,-0.2272023986356741,0.08558449347564474,-0.08600705069511688,0.12991430778144003,-0.21164966263696422,0.08749480139059868,0.1237682974539931,0.11399588656926607,-0.06649347800285436,0.3221543407138104,-0.45521218417015963,0.3232250473981978,0.08365371529814218,-0.4038203826146461,-0.2135798616304076,-0.04498736508059741,0.08534720184936345,-0.09861801556163106,-0.012727727098770162
grendon,0.20709801415705376,0.28576261660701435,0.10222474293994455,-0.17190949707585987,0.0786736000156061,-0.11520914187833373,-0.044879060816219236,-0.30877800580740344,0.3791796319678366,-0.31223495835741244,-0.05646976239929835,0.3154715584022836,0.5086536542755278,0.27961122276239486,-0.08476616305281542,0.06183068590103883,0.004164758853287246,-0.11577599537786848,-0.0701124223193301,0.07813590411868139,0.04781199830688453
iron-acton-wm,0.22714769485208713,0.20659838157647292,-0.11781600896267874,-0.010196575900973049,-0.2487104357353355,-0.1286038458540017,-0.29205415154432396,0.12962140277255862,-0.16413338297482666,0.6058665097952324,-0.16321073578233977,-0.10451655238796756,0.46746061784629245,-0.04367046688481505,0.20245555029583037,0.03612071081675027,0.02201625708757772,0.07018870980290894,-0.025507757247175272,0.10104665117888334,-0.02600192803442103
lea-marston-wm,0.2562747481670654,-0.13971111540459857,-0.0010450707480287153,-0.07010125413970783,-0.090595090937492,0.038101494625430575,-0.014703646661912746,-0.2880585845530769,-0.00957023266351338,-0.20378092518870122,-0.3251639956773668,-0.11883448032692892,0.004351676297046687,-0.20201336638976525,-0.0021905548789977252,-0.4432832737908487,-0.029395677881447167,0.6306083578575606,-0.1399106103884347,0.003199871938032214,0.01071007487204565
margam,0.027988281711190267,0.1109669277902884,0.7453031756598433,0.3102268174498295,-0.21867042692183988,0.48817954976020655,-0.07350828315186161,-0.14286706183786904,-0.09412291208242465,0.08587859156734072,0.04894309246007159,0.03608495523807593,0.030758645817718873,0.018838676754069576,-0.0007430986985981497,-0.013111814898290799,-0.007937256041744058,-0.015847144811758807,0.03815995859993661,0.006172324516371025,-0.004617607668779288
melksham,0.249512564546564,-0.1365560729127745,-0.01647668476986438,-0.14836323741432053,-0.4074077420803089,-0.016672799605271158,0.08995218640594582,0.01971919834769533,-0.09859058794036249,-0.03196337436906048,0.12303642000154155,0.09416951788757826,-0.07375139989248992,0.05616429335637433,-0.10324716635839003,-0.004337085003440427,0.16875622401707355,-0.22091181277008684,-0.5722869588017475,-0.3320892153822346,-0.3911228548907394
nechells-east,0.23825769261319002,-0.2333819696441027,-0.020333963889352765,0.03897809927368193,0.07935315175958922,0.08885020837444776,-0.0936195024681221,-0.01098945391697363,-0.0540318227979323,-0.11323664088878069,-0.12787814769064768,-0.11993610627648235,-0.12262981518342743,0.530648441614423,0.29754566588588754,0.47348105759020587,-0.09310677817243562,0.2624559353163416,0.12627033252006117,0.04926273621030347,-0.3346799363584115
ocker-hill,0.21230883806095105,-0.2530291161383792,-0.017836241678384657,0.16932661041197164,0.4081587636845113,0.04179473101324513,-0.2671781061315638,0.06462587288161166,0.0750705479467882,0.28067368562933676,0.4101429004270521,0.23960458580441926,0.07144489338396283,0.06333021611734911,-0.4124057961268584,-0.0307601304755331,0.1433108778869161,0.29749233459567986,-0.04922277358695412,-0.12793294678474568,-0.0006910661131434423
