,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53
ND,0.14004902486908485,0.2931904108570275,-0.008627447026900133,0.044171396163613895,-0.016383511812769803,-0.01091570470829218,0.030311073611969885,-0.17921631177081446,-0.09214773422077063,-0.03183894766137549,-0.030683224859136646,0.03619087674668407,-0.0413109514191961,-0.005923346777279249,-0.025662428464251683,-0.1020881629008501,0.027472488288081708,-0.007596178135686666,-0.026502825847340435,0.02159738367030016,0.009749066672499434,-0.008470773866543307,-0.06091431085597382,-0.020663495518631527,-0.16203146200751034,-0.08027252866989305,0.1785101673737477,0.03863374790632044,-0.009445194784199197,-0.0513280751778742,0.004205178475003784,0.12237476672872245,-0.39920250092517384,-0.1552722479754066,0.1484326022691769,0.04736440663966203,-0.012558719860439951,0.027174657024358596,0.014805633581170747,0.008266594032714437,-0.0686523324581057,0.727383272058964,0.039870585179976784,0.004133785180955786,-0.00015966404520141348,0.00024632729008715776,0.00019893144936319814,-2.7068786297805165e-06,6.259401150838637e-07,1.186247722056328e-06,1.087794450584113e-06,5.569985067030686e-08,-0.0
TSD,0.13457898751358266,0.29480939235603965,-0.02766159120722846,0.01831917782692577,-0.018087710528874534,-0.02356012880817774,-0.01485837839773127,-0.18368560179473337,-0.05982393373932719,-0.05539436726968479,-0.015175577564137765,0.044013412153232664,-0.05104172626623906,-0.016351813450944958,-0.03775916011313455,-0.06996168600320542,0.08196171500623858,-0.0005636380576836045,-0.061530845082527014,0.0024484791494002044,0.02753131130857012,-0.016869401241928494,-0.1472546341180132,0.0726273043851088,-0.06322276606460096,-0.19459733849076977,0.4963138887407846,0.1893878684956949,-0.12115162670556584,0.4070751934405752,-0.006185012934883505,-0.1564626070354848,0.4618227273191263,0.1915992777493819,-0.1509018800906837,0.0005985730241812141,0.008370616826324657,-0.010791965547811363,-0.007134381810534892,-0.0038149532273221497,0.004107151578384781,-0.02261320563809527,0.001681214499394042,-8.725851039760417e-05,-3.088430600283011e-05,2.8227191146695395e-06,-3.2955765055897335e-05,2.9587331784612154e-06,-3.581452333937877e-07,-4.0851360266640644e-07,-3.134141017357838e-07,-1.6837847614998122e-07,-9.997114980235788e-19
ENGLAND_WALES_DEMAND,0.13533013786883977,0.2981510428906735,-0.01744066685786145,0.04417443869491478,-0.021293871711919418,-0.010097314488490388,0.02592638003647866,-0.18491790145724094,-0.09712827933308,-0.03132542303638242,-0.029788595200912253,0.03189294554399875,-0.03822689622636366,-0.00839001762361753,-0.023587319969641786,-0.10584586573858422,0.02596625761066386,-0.005837189067818738,-0.022677889443585737,0.020693219315376522,0.009122920990573045,-0.005432792252398871,-0.051477639568687006,-0.018029517634416452,-0.16321534211406283,-0.08042947569617148,0.18795169319663663,0.0381335351736763,0.0024587939545323606,-0.05560923276024472,0.00556354101308231,0.1320288000188005,-0.4565098530704822,-0.1871684013844669,0.15277215802895924,0.061595733255957984,-0.0051540402457442205,0.0070647669311991535,-0.010140173603478728,0.03166370933295671,0.05412529384876811,-0.6763884363224082,-0.04604684011017827,-0.0039217900512551335,3.8798514788504376e-05,-0.00021360130257833777,-0.00017074094470767898,-2.356583647266762e-05,-4.552292814577126e-07,-5.244869259957812e-07,-7.736179000693196e-07,7.379404089668127e-08,2.504735918281801e-19
EMBEDDED_WIND_GENERATION,-0.16419616089907177,0.12484575501106386,-0.22032313279617263,0.04096915234297153,0.04562485354109327,-0.03977834226320357,0.023442576071755327,-0.07024778402356212,-0.08057453012952796,-0.013232681023297905,-0.045499380151583224,-0.007702069400451576,0.009930928844184703,0.14652254490824781,0.09762292006238107,0.030988976083084936,-0.12208346339636905,0.03871643684511443,-0.1239649776823192,-0.0009318045398501578,-0.06458827222861314,0.031095437467741942,0.5155875451647121,0.23390892267038396,0.11151434199931731,-0.10735976460359097,0.1608584648195417,0.11660571309746667,0.6216321074248629,-0.09144796321130359,-0.112127636069342,-0.11098988641774524,0.04935200891221274,0.020040727180753372,0.10097064500537521,-0.042495005605931994,-0.001766265121431657,0.001080781893744264,0.03612385449119161,-0.019902237126233218,0.005884670037824344,0.008829151245164767,0.001542123262925643,-0.001531561816553572,8.184030379596e-05,-5.866829237325082e-05,2.350868611838316e-06,6.472997982228287e-08,-8.644855409260641e-08,-2.8181112795080855e-08,1.153410888293229e-07,6.0814853688134695e-09,6.541048370042481e-19
EMBEDDED_WIND_CAPACITY,-0.19620101952769933,0.036910897155486705,0.06935481150698773,-0.11226249123346627,0.013864408924725926,0.20883485274245497,-0.00045374662804865533,-0.06795434323768082,-0.007598205948425881,-0.06970655123026978,0.04409760746797627,0.01164661340120418,0.028057026296234994,-0.09422938377000989,-0.10012890068162292,0.022964092056983413,0.06215333798124521,-0.04906708594912104,0.00013438489505490336,-0.0932905249309351,-0.048039608513615516,0.005156904393620115,-0.19403758807805171,0.3045953678615739,-0.14977505625239595,0.4485356912414036,0.11729457525095598,0.01972045599300854,0.2200377289586822,-0.02298126152650882,-0.037685956480571305,0.0013575795155653346,0.019502087766846476,-0.39498584132612435,-0.48093666967653736,0.10760389104739791,-0.09279667301093696,0.10152488404800375,0.10563627389031573,-0.029054080723700543,0.022571206838166994,0.006838240346147936,0.021305125091230472,0.004333217111258657,-0.00011902215634032453,-4.302371227369068e-05,-2.873581501962027e-05,-2.5076988881685165e-05,-3.3070639345883734e-07,3.4974323371195017e-08,-6.145170196767508e-08,-8.526246694461193e-09,1.4022613527870085e-18
EMBEDDED_SOLAR_GENERATION,-0.08169407769283515,0.041807578997367395,0.18709910686562786,0.03446441013818012,0.4492143253248395,-0.08531993418462637,0.0265418022409262,0.08048739035438526,0.11649924224809993,0.037983186786029445,-0.07716414066976497,0.015128999320675629,0.007132480875089627,0.018105205901712,0.030719815668424497,-0.019289442076641343,0.07917310424579173,0.00818936935991753,0.00330576393175402,0.01815753418411306,-0.000851217068207711,0.008458440058486809,0.08763391938370327,0.015571993280989791,-0.015516130305337867,0.05002356946390998,-0.14913912684313893,0.796597575741779,-0.13691362211316704,-0.0501061903216657,0.08736095240868583,0.008387569152789766,-0.03538427482991306,-0.03872218003252054,0.002187394927030548,0.04742149764731121,0.007161853027180029,0.07517995692546475,-0.03810401146366392,0.029663392776201808,0.0009728778224515655,-0.0019323578925934093,0.002977828260325871,-0.0006201370703726119,2.6421081221776785e-05,-3.7364347718312155e-05,-1.0889781320210103e-05,-2.9042933713200054e-05,8.083762684190085e-08,-1.1009566211016365e-07,-5.0924388711233354e-08,1.053952211203299e-08,-3.3590052496451285e-19
EMBEDDED_SOLAR_CAPACITY,-0.20059421581843714,0.04331106832447286,0.09307342849869761,-0.051137456784203804,-0.013305059158325024,0.16415648013015974,-0.13083949371843362,-0.062044870634234514,0.01588271226049031,-0.048634192152494565,0.036006935562132004,0.045834262106421955,-0.024031161654929484,-0.11679415956526151,-0.06412332932763323,-0.007191250195917441,0.08761903410594454,-0.02640625767624352,0.04632167883758198,-0.09644207718599004,-0.03315535522179175,-0.004807452910153489,-0.19310771435875193,0.2886609397619032,-0.09145126539614352,0.4174399781377,0.07057072336643312,0.03318575539922183,0.05852627770359913,-0.015156304283527027,0.004939050317406877,-0.0032933891675907493,-0.024995519679688237,0.448195725901461,0.5488051497300129,-0.14791104005740224,0.07305452871284826,-0.06145351458964635,-0.062106440193010884,0.029712142065733145,-0.0220946041567452,-0.0046194259945739604,-0.034707648474135884,-0.005620231086978905,0.00020437168594279935,6.39913550258566e-05,2.8230734818720194e-05,3.534044202392422e-05,4.5439729165574525e-08,2.0334517395507795e-07,8.521221876069289e-08,2.4687869921510808e-08,-9.711589050437712e-19
NON_BM_STOR,0.02199260447405996,0.058817468326193764,-0.003581444741674636,0.05821616996466309,0.02802581747230844,0.08800870295211703,0.037180928864497184,0.26395485064194196,-0.18260233505449136,0.02711941668233385,0.29481844011625663,0.8648647464406023,0.15132262683302838,0.08941226856195825,-0.06986277799342329,0.014837401790034746,-0.055371708884257034,-0.02619836678509261,-0.013806362706896756,0.054972232325064076,0.005035094272413102,-0.004090451489784776,0.010499794922394124,-0.019354888429683224,0.020503077151294888,-0.003248680330422359,-0.0021298462288273055,0.005258938780120015,-0.001535422068904481,-0.0005092871013473268,-0.00822841730262575,0.0004224228422757152,0.002864327531108504,-0.0013897326970852524,-0.004411201313754521,-0.00335305032008091,-0.003029806365175553,0.0004840462366499978,-0.0013235535591392192,-0.00016167481221184495,0.0009499944241083938,-0.0029630281666207375,-0.00017110879993545132,4.095568422772597e-05,-4.67997157364444e-05,8.619167110241169e-06,-4.801782940844339e-06,3.144238073324689e-06,4.153132033488338e-08,-3.380287865593273e-08,2.6328421262810977e-09,-1.592176795766963e-08,1.3472379317336447e-20
PUMP_STORAGE_PUMPING,0.0002292277555770407,-0.2412995508017398,-0.11742159284068604,0.04134795759573153,-0.08134708675014189,-0.06594767213629268,-0.01878861640233561,-0.1006481588682616,0.13816445015425038,-0.03508540188589425,0.015907796411524372,0.11250055495941733,-0.09840416759762122,0.3011559062131721,0.12516488062780418,0.4467849153326062,0.6396469435193747,0.12871417675603442,-0.30056326650414134,-0.010605419473594642,0.0021186812216689166,0.014307877780975286,-0.09082156913550622,0.06520349420609325,-0.06600671907271653,-0.06481841142328133,0.0347359914886467,0.022025426472331293,0.021890683904907383,0.046096554944092684,0.004995210424697482,0.05364850866058743,-0.08711689487389118,-0.03494566719293073,0.03182222606629924,0.024453688856044344,-0.02248876403423937,-0.009729154020363874,-0.010506218573285472,0.012690831799737309,-0.0020378016086895104,0.0019522045597150444,-0.001606289669187802,-8.791922403502618e-05,-8.936743579881625e-05,1.3723550792348546e-05,-1.9022216429878375e-06,-1.0734630481347414e-05,1.1715747303942953e-07,9.228688103036652e-08,6.3065964803130115e-09,-1.1073023069350457e-10,-7.604646117812655e-20
SCOTTISH_TRANSFER,-0.11953441408582534,0.08461321849325183,-0.04376116968329828,-0.0030611766792402236,-0.12054360228750245,-0.14769805158687718,-0.3330886885219137,0.02863056717589354,-0.019084235874576694,0.08087187808125318,0.0011000226292915975,0.009731630841007205,0.19417463978983457,0.10109290362391046,0.30501340657579235,-0.13583842440599583,0.31051526093083975,0.033711503376968426,0.667915621705135,0.31248040643402986,0.03203655856660088,-0.012897581774592772,-0.04462805090573945,0.01677066769655504,-0.011567634148452315,-0.022628051274298507,0.016696379530264538,0.019140949687902052,0.10198960410219494,-0.0066977144500084745,-0.017850190654494596,-0.016269516266115405,0.012538242099866767,-0.04864628653765735,-0.03856352510251123,0.017626154943950124,0.010594425888124887,-0.017758490893154674,-0.014618167939904912,0.001435255256526351,-0.0005691509150329009,0.006394821650590189,0.0009447852716545804,0.0003970404170724594,2.622016249459982e-05,-3.5454456744316044e-05,4.5746072876773125e-07,-8.151426297861723e-06,-1.9824908463254777e-08,3.370334629094978e-08,7.572173811100642e-09,-1.0062091685908523e-09,7.703808626234405e-20
