SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,SCOTTISH_TRANSFER,IFA_FLOW,IFA2_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,NEMO_FLOW,NSL_FLOW,ELECLINK_FLOW,VIKING_FLOW,GREENLINK_FLOW
2010-01-01,00:00:00,36453,37593,32391,906,1786,0,0,0,306,0,1977,0,0,-234,0,0,0,0,0,0
2010-01-01,00:30:00,36680,37739,32590,926,1786,0,0,0,223,0,2000,0,0,-236,0,0,0,0,0,0
2010-01-01,01:00:00,36343,37467,32291,926,1786,0,0,0,288,0,2000,0,0,-236,0,0,0,0,0,0
2010-01-01,01:30:00,35362,36489,31366,952,1786,0,0,0,291,0,2000,0,0,-236,0,0,0,0,0,0
2010-01-01,02:00:00,34366,35563,30522,952,1786,0,0,0,361,0,1999,0,0,-236,0,0,0,0,0,0
2010-01-01,02:30:00,34013,35410,30156,931,1786,0,0,0,561,0,2000,0,0,-236,0,0,0,0,0,0
2010-01-01,03:00:00,33064,35172,29212,931,1786,0,0,0,1272,0,2000,0,0,-236,0,0,0,0,0,0
2010-01-01,03:30:00,31842,34074,28106,772,1786,0,0,0,1396,0,2000,0,0,-236,0,0,0,0,0,0
2010-01-01,04:00:00,30768,32996,27222,772,1786,0,0,0,1392,0,1999,0,0,-236,0,0,0,0,0,0
2010-01-01,04:30:00,30133,32351,26691,727,1786,0,0,0,1383,0,2000,0,0,-235,0,0,0,0,0,0
2010-01-01,05:00:00,29591,31777,26237,727,1786,0,0,0,1370,0,1999,0,0,-216,0,0,0,0,0,0
2010-01-01,05:30:00,29392,31568,26054,634,1786,0,0,0,1361,0,2000,0,0,-215,0,0,0,0,0,0
2010-01-01,06:00:00,29519,31693,26223,634,1786,0,0,0,1378,0,2000,0,0,-196,0,0,0,0,0,0
2010-01-01,06:30:00,29456,31582,26167,695,1786,0,0,0,1307,0,1999,0,0,-219,0,0,0,0,0,0
2010-01-01,07:00:00,29049,31224,25825,695,1786,0,0,0,1219,0,1993,0,0,-356,0,0,0,0,0,0
2010-01-01,07:30:00,28538,30949,25510,704,1786,0,0,0,1381,0,1730,0,0,-430,0,0,0,0,0,0
2010-01-01,08:00:00,28555,30974,25546,704,1786,0,0,0,1389,0,1993,0,0,-430,0,0,0,0,0,0
2010-01-01,08:30:00,29432,31244,26430,676,1786,0,0,0,782,0,1997,0,0,-430,0,0,0,0,0,0
2010-01-01,09:00:00,31036,32070,27958,676,1786,0,0,0,4,0,1995,0,0,-430,0,0,0,0,0,0
2010-01-01,09:30:00,32667,33699,29436,638,1786,0,0,0,2,0,1999,0,0,-430,0,0,0,0,0,0
2010-01-01,10:00:00,34449,35484,31024,638,1786,0,0,0,5,0,1998,0,0,-430,0,0,0,0,0,0
2010-01-01,10:30:00,35769,36804,32186,727,1786,0,0,0,5,0,1998,0,0,-430,0,0,0,0,0,0
2010-01-01,11:00:00,37039,38074,33304,727,1786,0,0,0,5,0,1998,0,0,-430,0,0,0,0,0,0
2010-01-01,11:30:00,37909,38967,34027,703,1786,0,0,0,9,0,1999,0,0,-449,0,0,0,0,0,0
2010-01-01,12:00:00,38636,39675,34667,703,1786,0,0,0,8,0,1998,0,0,-431,0,0,0,0,0,0
2010-01-01,12:30:00,38944,40000,34944,676,1786,0,0,0,6,0,1999,0,0,-450,0,0,0,0,0,0
2010-01-01,13:00:00,38848,39906,34826,676,1786,0,0,0,8,0,1999,0,0,-450,0,0,0,0,0,0
2010-01-01,13:30:00,38773,39828,34731,653,1786,0,0,0,5,0,1999,0,0,-450,0,0,0,0,0,0
2010-01-01,14:00:00,38775,39810,34780,653,1786,0,0,0,5,0,1999,0,0,-430,0,0,0,0,0,0
2010-01-01,14:30:00,38621,39650,34658,666,1786,0,0,0,5,0,1993,0,0,-424,0,0,0,0,0,0
2010-01-01,15:00:00,38903,39877,34872,666,1786,0,0,0,5,0,1853,0,0,-369,0,0,0,0,0,0
2010-01-01,15:30:00,39734,40706,35616,629,1786,0,0,0,8,0,1855,0,0,-364,0,0,0,0,0,0
2010-01-01,16:00:00,41701,42696,37438,629,1786,0,0,7,9,0,1856,0,0,-393,0,0,0,0,0,0
2010-01-01,16:30:00,44259,45101,39718,612,1786,0,0,199,13,0,1858,0,0,-428,0,0,0,0,0,0
2010-01-01,17:00:00,45430,46250,40867,612,1786,0,0,251,9,0,1998,0,0,-430,0,0,0,0,0,0
2010-01-01,17:30:00,45317,46140,40853,603,1786,0,0,267,13,0,2000,0,0,-430,0,0,0,0,0,0
2010-01-01,18:00:00,44733,45597,40411,603,1786,0,0,226,13,0,2001,0,0,-430,0,0,0,0,0,0
2010-01-01,18:30:00,43983,44930,39727,598,1786,0,0,93,12,0,2003,0,0,-428,0,0,0,0,0,0
2010-01-01,19:00:00,43071,44040,38884,598,1786,0,0,36,14,0,2003,0,0,-391,0,0,0,0,0,0
2010-01-01,19:30:00,41974,42977,37897,548,1786,0,0,1,13,0,1982,0,0,-391,0,0,0,0,0,0
2010-01-01,20:00:00,41581,42583,37412,548,1786,0,0,0,11,0,1896,0,0,-391,0,0,0,0,0,0
2010-01-01,20:30:00,40770,41772,36705,526,1786,0,0,0,12,0,1894,0,0,-390,0,0,0,0,0,0
2010-01-01,21:00:00,39743,40724,35769,526,1786,0,0,0,10,0,1895,0,0,-371,0,0,0,0,0,0
2010-01-01,21:30:00,38460,39442,34520,509,1786,0,0,0,11,0,1896,0,0,-371,0,0,0,0,0,0
2010-01-01,22:00:00,37056,38038,33183,509,1786,0,0,0,11,0,1805,0,0,-371,0,0,0,0,0,0
2010-01-01,22:30:00,35879,36861,32011,472,1786,0,0,0,22,0,1817,0,0,-360,0,0,0,0,0,0
2010-01-01,23:00:00,34552,36083,30739,472,1786,0,0,0,645,0,225,0,0,-286,0,0,0,0,0,0
2010-01-01,23:30:00,33740,35607,29979,524,1786,0,0,0,896,0,-85,0,0,-286,0,0,0,0,0,0
2010-01-02,00:00:00,34349,35893,30672,524,1786,0,0,0,657,0,-1,0,0,-286,0,0,0,0,0,0
2010-01-02,00:30:00,34178,35700,30488,594,1786,0,0,0,636,0,-1,0,0,-285,0,0,0,0,0,0
2010-01-02,01:00:00,33647,35435,30029,594,1786,0,0,0,921,0,-1,0,0,-266,0,0,0,0,0,0
2010-01-02,01:30:00,32781,34771,29238,644,1786,0,0,0,1123,0,-1,0,0,-266,0,0,0,0,0,0
2010-01-02,02:00:00,32234,34226,28817,644,1786,0,0,0,1125,0,-1,0,0,-266,0,0,0,0,0,0
2010-01-02,02:30:00,32314,34418,28886,694,1786,0,0,0,1233,0,-5,0,0,-266,0,0,0,0,0,0
2010-01-02,03:00:00,31850,34160,28401,694,1786,0,0,0,1321,0,-104,0,0,-285,0,0,0,0,0,0
2010-01-02,03:30:00,31016,33372,27609,705,1786,0,0,0,1444,0,-26,0,0,-286,0,0,0,0,0,0
2010-01-02,04:00:00,30132,32448,26873,705,1786,0,0,0,1430,0,401,0,0,-286,0,0,0,0,0,0
2010-01-02,04:30:00,29743,31953,26551,643,1786,0,0,0,1420,0,401,0,0,-190,0,0,0,0,0,0
2010-01-02,05:00:00,29546,31601,26407,643,1786,0,0,0,1410,0,401,0,0,-45,0,0,0,0,0,0
2010-01-02,05:30:00,29592,31649,26380,649,1786,0,0,0,1412,0,401,0,0,-45,0,0,0,0,0,0
2010-01-02,06:00:00,30217,32239,26968,649,1786,0,0,0,1377,0,402,0,0,-45,0,0,0,0,0,0
2010-01-02,06:30:00,30743,32089,27471,698,1786,0,0,0,701,0,404,0,0,-45,0,0,0,0,0,0
2010-01-02,07:00:00,31230,32033,27979,698,1786,0,0,0,8,0,402,0,0,-195,0,0,0,0,0,0
2010-01-02,07:30:00,31673,32650,28509,921,1786,0,0,0,7,0,402,0,0,-370,0,0,0,0,0,0
2010-01-02,08:00:00,32697,33674,29465,921,1786,0,0,0,6,0,99,0,0,-371,0,0,0,0,0,0
2010-01-02,08:30:00,34578,35554,31305,842,1786,0,0,0,5,0,99,0,0,-371,0,0,0,0,0,0
2010-01-02,09:00:00,36804,37780,33410,842,1786,0,0,0,5,0,99,0,0,-371,0,0,0,0,0,0
2010-01-02,09:30:00,38340,39316,34747,855,1786,0,0,0,5,0,99,0,0,-371,0,0,0,0,0,0
2010-01-02,10:00:00,39612,40588,35806,855,1786,0,0,0,5,0,402,0,0,-371,0,0,0,0,0,0
2010-01-02,10:30:00,40428,41404,36483,917,1786,0,0,0,5,0,404,0,0,-371,0,0,0,0,0,0
2010-01-02,11:00:00,41010,42004,36971,917,1786,0,0,0,4,0,404,0,0,-390,0,0,0,0,0,0
2010-01-02,11:30:00,41335,42316,37194,1082,1786,0,0,0,5,0,404,0,0,-376,0,0,0,0,0,0
2010-01-02,12:00:00,41670,42665,37435,1082,1786,0,0,0,4,0,406,0,0,-391,0,0,0,0,0,0
2010-01-02,12:30:00,41534,42529,37289,1166,1786,0,0,0,4,0,403,0,0,-391,0,0,0,0,0,0
2010-01-02,13:00:00,41349,42345,37090,1166,1786,0,0,0,5,0,403,0,0,-391,0,0,0,0,0,0
2010-01-02,13:30:00,41268,42264,37006,1233,1786,0,0,0,5,0,403,0,0,-391,0,0,0,0,0,0
2010-01-02,14:00:00,41408,42404,37211,1233,1786,0,0,0,5,0,403,0,0,-391,0,0,0,0,0,0
2010-01-02,14:30:00,41364,42359,37197,1256,1786,0,0,0,5,0,403,0,0,-390,0,0,0,0,0,0
2010-01-02,15:00:00,41633,42609,37385,1256,1786,0,0,0,5,0,403,0,0,-371,0,0,0,0,0,0
